English,Portuguese
Alarm Configuration,Configuração de Alarme
Edit Alarm,Editar alarme
Create Alarm,Criar alarme
Alarm added successfully!,Alarme adicionado com sucesso!
Alarm updated successfully!,Alarme atualizado com sucesso!
Alarm Name,Nome do Alarme
Alarm Type,Tipo de alarme
Alarm,Alarme
Alarm On,Alarme Ligado
Threshold Value,Valor limiar
Period,Período
Last Triggered Date,Última data acionada
Period (In Seconds),Período (em segundos)
Active calls,Chamadas ativas
Alarm Report,Relatório de alarme
Triggered Value,Valor desencadeado
Resolved,Resolvido
Call Alarms,Alarmes de chamadas
Report,Relatório
