English,French
Access Number,Numéro d'accès
Access Number,Numéro d'accès
Access Numbers,Numéros d'accès
Account,Compte
Account Type,Type de compte
Account Valid Days,Compte jours valides
Account Verification By,Vérification du compte par
Accounts,Comptes
Accounts Report,Rapport sur les comptes
ACD,ACD
Action,action
Action Type,type d'action
Add,Ajouter
Add Country,Ajouter un pays
Add Currency,Ajouter une devise
Add Destination,Ajouter une destination
Add Ratedeck,Ajouter Ratedeck
Address1,Adresse 1
Administrator,Administrateur
Admin,Administrateur
Admins,Administrateurs
After Balance,Après l'équilibre
Alarm,Alarme
Alert Status,État d'alerte
Allow integration with Fraud detection,Permettre l'intégration avec la détection de fraude
Allow IP Management,Autoriser la gestion IP
Allow Local Call,Autoriser l'appel local
Allow Local Calls,Autoriser les appels locaux
Allow Loss Less Routing,Autoriser le routage sans perte
Allow Max Retries,Autoriser le nombre maximal de tentatives
Allow Recording,Autoriser l'enregistrement
Amount,Montant
Amount INR,Montant INR
Answered Calls,Appels répondus
Applicable For,Applicable pour
Apply on existing accounts,Appliquer sur les comptes existants
Archive,Archiver
ASR,ASR
Attachement,Attachement
Attempted Calls,Tentatives d'appels
Audit,Audit
Audit Log,Journal d'audit
Audit Logs Older Than Days,Journaux d'audit de plus de jours
Authorize.net,Authorize.net
Automatically,Automatiquement
Balance,Équilibre
Balance Announcement,Annonce du solde
Balance Below,Solde en dessous
Base Currency,Devise de base
Basic,De base
Basic Information,Informations de base
Batch Update,Mise à jour par lots
Before Balance INR,Avant solde INR
Begins With,Commence par
Beta,Bêta
Billable,Facturable
Billing,Facturation
Billing Cycle,Cycle de facturation
Billing Days,Jours de facturation
Billing Information,détails de facturation
Billing Type,Type de facturation
Body,Corps
Buy Cost,Achat Coût
Call Barring,Interdiction d'appels
Call Date,Date d'appel
Call Detail Reports,Rapports détaillés des appels
Call Max Length,Durée maximale de l'appel
Call State,État de l'appel
Call Summary Reports,Rapports récapitulatifs des appels
Call Timeout,Délai d'appel
Call Type,Type d'appel
Call Types,Types d'appels
Called Number,Numéro appelé
Caller ID,Identification de l'appelant
Caller IDs,Identification des appelants
Caller IP,IP de l'appelant
Caller Name,Nom de l'appelant
Caller Number,Numéro de l'appelant
Caller-Id-In-Form,Formulaire d'identification de l'appelant
Calling Card,Carte téléphonique
Calls,Appels
Calls Breakdown,Répartition des appels
Calltype Information,Informations sur le type d'appel
Can be purchased?,Peut être acheté?
Capital,Capitale
Capture Server,Serveur de capture
Card Input Timeout,Délai d'entrée de la carte
Card Length,Longueur de la carte
Card Retries,Nouvelles tentatives de carte
Carriers,Les transporteurs
Category,Catégorie
CC,CC
CDRs Older Than Days,CDR de plus de jours
Charge Type,Type de charge
Charges Breakdown,Répartition des charges
Charges History,Historique des charges
CID,CID
City,Ville
Clear,Clair
Client IP,IP client
Client User Agent,Agent utilisateur client
Code,Code
Codecs,Codecs
Commission,Commission
Commission Rate,Taux de commission
Commission Reports,Rapports de commission
Company,Entreprise
