English,Portuguese
Access Number,Número de acesso
Access Number,Número de acesso
Access Numbers,Números de Acesso
Account,Conta
Account Type,tipo de conta
Account Valid Days,Dias válidos da conta
Account Verification By,Verificação de conta por
Accounts,Contas
Accounts Report,Relatório de Contas
ACD,ACD
Action,Açao
Action Type,Tipo de acão
Add,Adicionar
Add Country,Adicionar País
Add Currency,Adicionar Moeda
Add Destination,Adicionar Destino
Add Ratedeck,Adicionar verificação de classificação
Address 1,Endereço 1
Administrator,Administrador
Admin,Admin
Admins,Administradores
After Balance,Após o equilíbrio
Alarm,Alarme
Alert Status,Status de alerta
Allow integration with Fraud detection,Permitir integração com detecção de fraude
Allow IP Management,Permitir gerenciamento de IP
Allow Local Call,Permitir Chamada Local
Allow Local Calls,Permitir chamadas locais
Allow Loss Less Routing,Permitir menos perda de roteamento
Allow Max Retries,Permitir tentativas máximas
Allow Recording,Permitir Gravação
Amount,Montante
Amount INR,Quantidade INR
Answered Calls,Chamadas Atendidas
Applicable For,Aplicável para
Apply on existing accounts,Aplicar em contas existentes
Archive,Arquivo
ASR,ASR
Attachement,Anexo
Attempted Calls,Tentativas de chamadas
Audit,Auditoria
Audit Log,Registro de auditoria
Audit Logs Older Than Days,Registros de auditoria anteriores a dias
Authorize dot net,Autorizar dot net
Automatically,Automaticamente
Balance,Saldo
Balance Announcement,Anúncio de saldo
Balance Below,Saldo Abaixo
Base Currency,Moeda base
Basic,Básico
Basic Information,Informação básica
Batch Update,Atualização em lote
Before Balance INR,Antes do saldo INR
Begins With,Começa com
Beta,Beta
Billable,Faturável
Billing,Faturamento
Billing Cycle,Ciclo de Faturamento
Billing Days,Dias de cobrança
Billing Information,Informações de pagamento
Billing Type,Tipo de cobrança
Body,Corpo
Buy Cost,Custo de compra
Call Barring,Barramento de chamadas
Call Date,Data de Chamada
Call Detail Reports,Relatórios de detalhes de chamadas
Call Max Length,Duração máxima da chamada
Call State,Call State
Call Summary Reports,Relatórios de resumo de chamadas
Call Timeout,Tempo limite da chamada
Call Type,Tipo de Chamada
Call Types,Tipos de chamada
Called Number,Número Chamado
Caller ID,Identificador de chamadas
Caller IDs,IDs de chamadas
Caller IP,IP do chamador
Caller Name,Nome do chamador
Caller Number,Número do chamador
Caller-Id-In-Form,Caller-Id-In-Form
Calling Card,Cartão de Chamada
Calls,Ligações
Calls Breakdown,Análise de chamadas
Calltype Information,Informações de tipo de chamada
Can be purchased?,Pode ser comprado?
Capital,Capital
