English,Spanish
Conference List,Lista de conferencias
Edit Conference,Editar conferencia
Create Conference,Crear conferencia
Conference Added Successfully!,Conferencia agregada con éxito!
Conference Updated Successfully!,Conferencia actualizada con éxito!
Conference removed successfully!,Conferencia eliminado con éxito!
Conference profiles,Perfiles de conferencia
Create Conference profiles,Crear perfiles de conferencia
Edit Conference Profile,Editar perfil de conferencia
Conference Setting Added Successfully!,Configuración de la conferencia añadido con éxito!
Conference Setting Updated Successfully!,Configuración de la conferencia actualizada con éxito!
Conference Profile Removed Successfully!,Perfil de la conferencia eliminado con éxito!
Edit Conference profiles,Editar perfiles de conferencia
Conference Profiles Added Successfully!,Perfiles de conferencia añadidos con éxito!
Conference Profiles Updated Successfully!,Perfiles de conferencia actualizados con éxito!
Conference profiles removed successfully!,Perfiles de conferencia eliminados con éxito!
Conference controls List,Lista de controles de conferencia
Edit Conference controls,Editar controles de conferencia
Conference Controls Removed Successfully!,Controles de la Conferencia eliminados con éxito!
Conference Controls Added Successfully!,Controles de conferencia añadidos con éxito!
Conference Controls Updated Successfully!,Controles de la Conferencia actualizados con éxito!
Pin Number,Número de PIN
Duration (Second),Duración (segundo)
Greeting,Saludo
Create Conference Controls,Crear controles de conferencia
Controls Name,Nombre de los controles
Data,Datos
Domains,Dominios
Edit Domains,Editar dominios
Domain Updated Successfully!,Dominio actualizado con éxito!
Please enter proper domain value.,"Por favor, introduzca el valor de dominio adecuado."
Domain name,Nombre de dominio
Edit Domain,Editar dominio
Feature Code,Código de la característica
Feature code removed successfully!,Código de función eliminado correctamente!
Feature code is already exist in system,El código de función ya existe en el sistema
Pickup Group,Grupo de recogida
Create Pickup Group,Crear grupo de recogida
Edit Pickup Group,Editar grupo de recogida
Pickup group updated successfully!,Grupo de recogida actualizado con éxito!
Pickup group added successfully!,Grupo de recogida añadido con éxito!
Pickup group removed successfully!,Grupo de recogida eliminado con éxito!
Feature Code,Código de la característica
Feature,Característica
IVR List,Lista de IVR
Create IVR,Crear IVR
Edit IVR,Editar IVR
Ivr added successfully!,Ivr agregó con éxito!
Ivr updated successfully!,Ivr actualizado con éxito!
Ivr removed successfully!,Ivr eliminado con éxito!
Caller ID Name Prefix,Prefijo del nombre del identificador de llamadas
Options,Opciones
Advance,Avanzar
Add More,Añadir más
Ring Back,Volver a llamar
Invalid Retries,Reintentos inválidos
Timeout,Se acabó el tiempo
Caller ID Number Prefix,Prefijo del número de identificación de llamadas
Invalid Message,Mensaje inválido
Welcome Greeting,Saludo de bienvenida
Direct Dial,Línea directa
Create Queue,Crear cola
Edit Queue,Editar cola
Queue Added Successfully!,Cola agregada con éxito!
Queue Updated Successfully!,Cola actualizada con éxito!
Queue removed successfully!,Cola eliminada con éxito!
Agent Dial Number,Número de marcado del agente
Queues,Colas
Queue,Cola
Edit Recording,Editar grabación
Recording,Grabación
