English,French
Alarm Configuration,Configuration d'alarme
Edit Alarm,Modifier l'alarme
Create Alarm,Créer une alarme
Alarm added successfully!,Alarme ajoutée avec succès!
Alarm updated successfully!,Alarme mise à jour avec succès!
Alarm Name,Nom de l'alarme
Alarm Type,Type d'alarme
Alarm,Alarme
Alarm On,Alarme sur
Threshold Value,Valeur de seuil
Period,Période
Last Triggered Date,Date du dernier déclenchement
Period (In Seconds),Période (en secondes)
Active calls,Appels actifs
Alarm Report,Rapport d'alarme
Triggered Value,Valeur déclenchée
Resolved,Résolu
Call Alarms,Alarmes d'appel
Report,rapport
