English,French
Create Schedule Report,Créer un rapport de planification
Schedule Report,Rapport de calendrier
Schedule Report added successfully!,Rapport de calendrier ajouté avec succès!
Schedule Report has been deleted !,Le rapport de planification a été supprimé!
Email ID,Identifiant Email
Recurring,Récurrent
Filters,Les filtres
Unique ID,Identifiant unique
Caller ID,Identification de l'appelant
Caller Number,Numéro de l'appelant
Duration,Durée
Disposition,Disposition
Call Start,Appeler le début
Debit,Débit
Cost,Coût
Rate Group,Groupe de taux
Package,Paquet
Recurring Type,Type récurrent
Field List,Liste de champ
Schedule Reports,Rapports de calendrier
Report Description,Description du rapport
