English,French
Conference List,Liste de conférence
Edit Conference,Modifier la conférence
Create Conference,Créer une conférence
Conference Added Successfully!,Conférence ajoutée avec succès!
Conference Updated Successfully!,Conférence mise à jour avec succès!
Conference removed successfully!,Conférence supprimée avec succès!
Conference profiles,Profils de conférence
Create Conference profiles,Créer des profils de conférence
Edit Conference Profile,Modifier le profil de la conférence
Conference Setting Added Successfully!,Configuration de la conférence ajoutée avec succès!
Conference Setting Updated Successfully!,Configuration de la conférence mise à jour avec succès!
Conference Profile Removed Successfully!,Profil de conférence supprimé avec succès!
Edit Conference profiles,Modifier les profils de conférence
Conference Profiles Added Successfully!,Profils de conférence ajoutés avec succès!
Conference Profiles Updated Successfully!,Profils de conférence mis à jour avec succès!
Conference profiles removed successfully!,Les profils de conférence ont été supprimés avec succès!
Conference controls List,Liste des contrôles de la conférence
Edit Conference controls,Modifier les contrôles de la conférence
Conference Controls Removed Successfully!,Contrôles de conférence supprimés avec succès!
Conference Controls Added Successfully!,Commandes de conférence ajoutées avec succès!
Conference Controls Updated Successfully!,Les commandes de la conférence ont été mises à jour avec succès!
Pin Number,Code PIN
Duration (Second),Durée (seconde)
Greeting,Salutation
Create Conference Controls,Créer des contrôles de conférence
Controls Name,Nom des contrôles
Data,Les données
Domains,Domaines
Edit Domains,Editer les domaines
Domain Updated Successfully!,Domaine mis à jour avec succès!
Please enter proper domain value.,Veuillez entrer la valeur de domaine appropriée.
Domain name,Nom de domaine
Edit Domain,Modifier le domaine
Feature Code,Code de fonction
Feature code removed successfully!,Code de fonction supprimé avec succès!
Feature code is already exist in system,Le code de fonction existe déjà dans le système
Pickup Group,Groupe de ramassage
Create Pickup Group,Créer un groupe de ramassage
Edit Pickup Group,Modifier le groupe de ramassage
Pickup group updated successfully!,Le groupe de collecte a été mis à jour avec succès!
Pickup group added successfully!,Groupe de ramassage ajouté avec succès!
Pickup group removed successfully!,Groupe de ramassage supprimé avec succès!
Feature Code,Code de fonction
Feature,Fonctionnalité
IVR List,Liste de RVI
Create IVR,Créer un RVI
Edit IVR,Modifier l'IVR
Ivr added successfully!,Ivr ajouté avec succès!
Ivr updated successfully!,Ivr mis à jour avec succès!
Ivr removed successfully!,Ivr enlevé avec succès!
