English,Portuguese
Add Auth Email,Adicionar email de autenticação
Edit Auth Email,Editar email de autenticação
Add Authemail,Adicionar Authemail
Auth Email updated successfully!,E-mail de autenticação atualizado com sucesso!
Auth Email added successfully!,E-mail de autenticação adicionado com sucesso!
Auth Email removed successfully!,E-mail de autenticação removido com sucesso!
Auth Email,Email de Autenticação
Authemail added successfully!,Authemail adicionado com sucesso!
Please Enter Authemail value.,"Por favor, insira o valor Authemail."
Authemail already Exists.,Authemail já existe.
Authemail removed sucessfully!,Authemail removido com sucesso!
Auth Email List,Lista de e-mail de autenticação
Auth Email updated successfully!,E-mail de autenticação atualizado com sucesso!
Auth Email added successfully!,E-mail de autenticação adicionado com sucesso!
Auth Mapping,Mapeamento de Autenticação
Auth,Auth
Authemail,Authemail
Faxer,Fax
This file not avilable for download!,Este arquivo não está disponível para download!
Create FAX,Crie o FAX
Web2fax removed successfully!,Web2fax removido com sucesso!
Fax Type,Tipo de fax
Fax Number,Número de fax
Fax Format,Formato de fax
File Name,Nome do arquivo
Fax Sent,Fax enviado
Send Date,Data de envio
"Files with format are allowed: .pdf,.tiff,.doc,.docx","Arquivos com formato são permitidos: .pdf, .tiff, .doc, .docx"
Send Fax,Enviar fax
Receive,Receber
Sent,Enviei
Text,Texto
Pending,Pendente
Send,Mandar
Error,Erro
Processing,Em processamento
Fail,Falhou
SIP Device,Dispositivo SIP
