English,Spanish
Create Schedule Report,Crear informe de programación
Schedule Report,Informe del horario
Schedule Report added successfully!,Informe de horario agregado con éxito!
Schedule Report has been deleted !,Horario de informe ha sido eliminado!
Email ID,Identificación de correo
Recurring,Periódico
Filters,Filtros
Unique ID,Identificación única
Caller ID,Identificador de llamadas
Caller Number,Numero de llamante
Duration,Duración
Disposition,Disposición
Call Start,Inicio de llamada
Debit,Débito
Cost,Costo
Rate Group,Grupo de tarifas
Package,Paquete
Recurring Type,Tipo recurrente
Field List,Lista de campo
Schedule Reports,Informes de horarios
Report Description,Descripción del reporte
