"Searching for Number in Range Table.....  27117875533"
"Specified Number not found in Number Range table.....  '27117875533'"
"Same Number not found in ported Number table.....  27117875533"
"Data insertion completed.....  27117875533"
"Searching for Number in Range Table.....  27110115500"
"Specified Number not found in Number Range table.....  '27110115500'"
"Same Number not found in ported Number table.....  27110115500"
"Data insertion completed.....  27110115500"
"Specified Number not found in Number Range table.....  '27110115501'"
"Same Number not found in ported Number table.....  27110115501"
"Data insertion completed.....  27110115501"
"Specified Number not found in Number Range table.....  '27110115502'"
"Same Number not found in ported Number table.....  27110115502"
"Data insertion completed.....  27110115502"
"Specified Number not found in Number Range table.....  '27110115503'"
"Same Number not found in ported Number table.....  27110115503"
"Data insertion completed.....  27110115503"
"Specified Number not found in Number Range table.....  '27110115504'"
"Same Number not found in ported Number table.....  27110115504"
"Data insertion completed.....  27110115504"
"Specified Number not found in Number Range table.....  '27110115505'"
"Same Number not found in ported Number table.....  27110115505"
"Data insertion completed.....  27110115505"
"Specified Number not found in Number Range table.....  '27110115506'"
"Same Number not found in ported Number table.....  27110115506"
"Data insertion completed.....  27110115506"
"Specified Number not found in Number Range table.....  '27110115507'"
"Same Number not found in ported Number table.....  27110115507"
"Data insertion completed.....  27110115507"
"Specified Number not found in Number Range table.....  '27110115508'"
"Same Number not found in ported Number table.....  27110115508"
"Data insertion completed.....  27110115508"
"Specified Number not found in Number Range table.....  '27110115509'"
"Same Number not found in ported Number table.....  27110115509"
"Data insertion completed.....  27110115509"
"Specified Number not found in Number Range table.....  '27110115510'"
"Same Number not found in ported Number table.....  27110115510"
"Data insertion completed.....  27110115510"
"Specified Number not found in Number Range table.....  '27110115511'"
"Same Number not found in ported Number table.....  27110115511"
"Data insertion completed.....  27110115511"
"Specified Number not found in Number Range table.....  '27110115512'"
"Same Number not found in ported Number table.....  27110115512"
"Data insertion completed.....  27110115512"
"Specified Number not found in Number Range table.....  '27110115513'"
"Same Number not found in ported Number table.....  27110115513"
"Data insertion completed.....  27110115513"
"Specified Number not found in Number Range table.....  '27110115514'"
"Same Number not found in ported Number table.....  27110115514"
"Data insertion completed.....  27110115514"
"Specified Number not found in Number Range table.....  '27110115515'"
"Same Number not found in ported Number table.....  27110115515"
"Data insertion completed.....  27110115515"
"Specified Number not found in Number Range table.....  '27110115516'"
"Same Number not found in ported Number table.....  27110115516"
"Data insertion completed.....  27110115516"
"Specified Number not found in Number Range table.....  '27110115517'"
"Same Number not found in ported Number table.....  27110115517"
"Data insertion completed.....  27110115517"
"Specified Number not found in Number Range table.....  '27110115518'"
"Same Number not found in ported Number table.....  27110115518"
"Data insertion completed.....  27110115518"
"Specified Number not found in Number Range table.....  '27110115519'"
"Same Number not found in ported Number table.....  27110115519"
"Data insertion completed.....  27110115519"
"Specified Number not found in Number Range table.....  '27110115520'"
"Same Number not found in ported Number table.....  27110115520"
"Data insertion completed.....  27110115520"
"Specified Number not found in Number Range table.....  '27110115521'"
"Same Number not found in ported Number table.....  27110115521"
"Data insertion completed.....  27110115521"
"Specified Number not found in Number Range table.....  '27110115522'"
"Same Number not found in ported Number table.....  27110115522"
"Data insertion completed.....  27110115522"
"Specified Number not found in Number Range table.....  '27110115523'"
"Same Number not found in ported Number table.....  27110115523"
"Data insertion completed.....  27110115523"
"Specified Number not found in Number Range table.....  '27110115524'"
"Same Number not found in ported Number table.....  27110115524"
"Data insertion completed.....  27110115524"
"Specified Number not found in Number Range table.....  '27110115525'"
"Same Number not found in ported Number table.....  27110115525"
"Data insertion completed.....  27110115525"
"Specified Number not found in Number Range table.....  '27110115526'"
"Same Number not found in ported Number table.....  27110115526"
"Data insertion completed.....  27110115526"
"Specified Number not found in Number Range table.....  '27110115527'"
"Same Number not found in ported Number table.....  27110115527"
"Data insertion completed.....  27110115527"
"Specified Number not found in Number Range table.....  '27110115528'"
"Same Number not found in ported Number table.....  27110115528"
"Data insertion completed.....  27110115528"
"Specified Number not found in Number Range table.....  '27110115529'"
"Same Number not found in ported Number table.....  27110115529"
"Data insertion completed.....  27110115529"
"Specified Number not found in Number Range table.....  '27110115530'"
"Same Number not found in ported Number table.....  27110115530"
"Data insertion completed.....  27110115530"
"Specified Number not found in Number Range table.....  '27110115531'"
"Same Number not found in ported Number table.....  27110115531"
"Data insertion completed.....  27110115531"
"Specified Number not found in Number Range table.....  '27110115532'"
"Same Number not found in ported Number table.....  27110115532"
"Data insertion completed.....  27110115532"
"Specified Number not found in Number Range table.....  '27110115533'"
"Same Number not found in ported Number table.....  27110115533"
"Data insertion completed.....  27110115533"
"Specified Number not found in Number Range table.....  '27110115534'"
"Same Number not found in ported Number table.....  27110115534"
"Data insertion completed.....  27110115534"
"Specified Number not found in Number Range table.....  '27110115535'"
"Same Number not found in ported Number table.....  27110115535"
"Data insertion completed.....  27110115535"
"Specified Number not found in Number Range table.....  '27110115536'"
"Same Number not found in ported Number table.....  27110115536"
"Data insertion completed.....  27110115536"
"Specified Number not found in Number Range table.....  '27110115537'"
"Same Number not found in ported Number table.....  27110115537"
"Data insertion completed.....  27110115537"
"Specified Number not found in Number Range table.....  '27110115538'"
"Same Number not found in ported Number table.....  27110115538"
"Data insertion completed.....  27110115538"
"Specified Number not found in Number Range table.....  '27110115539'"
"Same Number not found in ported Number table.....  27110115539"
"Data insertion completed.....  27110115539"
"Specified Number not found in Number Range table.....  '27110115540'"
"Same Number not found in ported Number table.....  27110115540"
"Data insertion completed.....  27110115540"
"Specified Number not found in Number Range table.....  '27110115541'"
"Same Number not found in ported Number table.....  27110115541"
"Data insertion completed.....  27110115541"
"Specified Number not found in Number Range table.....  '27110115542'"
"Same Number not found in ported Number table.....  27110115542"
"Data insertion completed.....  27110115542"
"Specified Number not found in Number Range table.....  '27110115543'"
"Same Number not found in ported Number table.....  27110115543"
"Data insertion completed.....  27110115543"
"Specified Number not found in Number Range table.....  '27110115544'"
"Same Number not found in ported Number table.....  27110115544"
"Data insertion completed.....  27110115544"
"Specified Number not found in Number Range table.....  '27110115545'"
"Same Number not found in ported Number table.....  27110115545"
"Data insertion completed.....  27110115545"
"Specified Number not found in Number Range table.....  '27110115546'"
"Same Number not found in ported Number table.....  27110115546"
"Data insertion completed.....  27110115546"
"Specified Number not found in Number Range table.....  '27110115547'"
"Same Number not found in ported Number table.....  27110115547"
"Data insertion completed.....  27110115547"
"Specified Number not found in Number Range table.....  '27110115548'"
"Same Number not found in ported Number table.....  27110115548"
"Data insertion completed.....  27110115548"
"Specified Number not found in Number Range table.....  '27110115549'"
"Same Number not found in ported Number table.....  27110115549"
"Data insertion completed.....  27110115549"
"Specified Number not found in Number Range table.....  '27110115550'"
"Same Number not found in ported Number table.....  27110115550"
"Data insertion completed.....  27110115550"
"Specified Number not found in Number Range table.....  '27110115551'"
"Same Number not found in ported Number table.....  27110115551"
"Data insertion completed.....  27110115551"
"Specified Number not found in Number Range table.....  '27110115552'"
"Same Number not found in ported Number table.....  27110115552"
"Data insertion completed.....  27110115552"
"Specified Number not found in Number Range table.....  '27110115553'"
"Same Number not found in ported Number table.....  27110115553"
"Data insertion completed.....  27110115553"
"Specified Number not found in Number Range table.....  '27110115554'"
"Same Number not found in ported Number table.....  27110115554"
"Data insertion completed.....  27110115554"
"Specified Number not found in Number Range table.....  '27110115555'"
"Same Number not found in ported Number table.....  27110115555"
"Data insertion completed.....  27110115555"
"Specified Number not found in Number Range table.....  '27110115556'"
"Same Number not found in ported Number table.....  27110115556"
"Data insertion completed.....  27110115556"
"Specified Number not found in Number Range table.....  '27110115557'"
"Same Number not found in ported Number table.....  27110115557"
"Data insertion completed.....  27110115557"
"Specified Number not found in Number Range table.....  '27110115558'"
"Same Number not found in ported Number table.....  27110115558"
"Data insertion completed.....  27110115558"
"Specified Number not found in Number Range table.....  '27110115559'"
"Same Number not found in ported Number table.....  27110115559"
