English,Russian
Create Schedule Report,Создать расписание отчета
Schedule Report,Расписание отчета
Schedule Report added successfully!,Расписание отчет успешно добавлен!
Schedule Report has been deleted !,Расписание отчета было удалено!
Email ID,Email ID
Recurring,Периодическая
Filters,фильтры
Unique ID,Уникальный идентификатор
Caller ID,Caller ID
Caller Number,Номер звонящего
Duration,продолжительность
Disposition,диспозиция
Call Start,Call Start
Debit,Дебет
Cost,Стоимость
Rate Group,Тарифная группа
Package,пакет
Recurring Type,Повторяющийся тип
Field List,Список полей
Schedule Reports,Расписание отчетов
Report Description,Описание отчета
